"cov";"id";"i";"o";"p";"it";"itop";"HS"
0.75;1;3;10;5;21;0.5;1.01
0.25;10;5;10;10;21;0.5;16.21
0.25;2.5;10;10;20;21;0.5;14.78
0.25;0.01;3;10;5;22;0.5;-0.05
0.5;0.01;5;10;10;22;0.5;0.02
0.25;2.5;10;10;20;22;0.5;14.99
1;10;3;10;5;23;0.5;4.29
0;2.5;5;10;10;23;0.5;7.15
0;0.01;10;10;20;23;0.5;0.03
0;5;3;10;5;24;0.5;7.03
0.25;1;5;10;10;24;0.5;3.16
0.25;2.5;10;10;20;24;0.5;14.5
1;1;3;10;5;25;0.5;1.05
0;0.01;5;10;10;25;0.5;-0.16
1;1;10;10;20;25;0.5;1.86
0;1;3;10;5;26;0.5;1.27
0.25;2.5;5;10;10;26;0.5;6.3
1;1;10;10;20;26;0.5;2.04
0.75;1;3;10;5;27;0.5;1.68
1;2.5;5;10;10;27;0.5;2.62
0.75;5;10;10;20;27;0.5;17.61
1;1;3;10;5;28;0.5;1.09
1;0.01;5;10;10;28;0.5;-0.04
0.75;1;10;10;20;28;0.5;4.03
0.75;0.01;3;10;5;29;0.5;-0.01
1;0.01;5;10;10;29;0.5;-0.02
0.5;5;10;10;20;29;0.5;22.2
0.5;10;3;10;5;30;0.5;10.8
1;10;5;10;10;30;0.5;4.81
0.25;5;10;10;20;30;0.5;23.51
1;0.01;3;10;5;31;0.5;-0.03
0.75;1;5;10;10;31;0.5;1.67
0.25;5;10;10;20;31;0.5;22.87
1;0.01;3;10;5;32;0.5;0.09
1;2.5;5;10;10;32;0.5;2.95
0.25;5;10;10;20;32;0.5;24.27
0.5;2.5;3;10;5;33;0.5;3.87
0.5;2.5;5;10;10;33;0.5;6.27
0.5;0.01;10;10;20;33;0.5;-0.05
0.5;5;3;10;5;34;0.5;5.73
0;10;5;10;10;34;0.5;17.65
1;1;10;10;20;34;0.5;2.21
1;0.01;3;10;5;35;0.5;0.07
0.25;2.5;5;10;10;35;0.5;6.78
0.25;2.5;10;10;20;35;0.5;13.88
0;1;3;10;5;36;0.5;1.23
0.75;10;5;10;10;36;0.5;14.8
0.5;5;10;10;20;36;0.5;20.67
0.5;5;3;10;5;37;0.5;7.21
0.25;0.01;5;10;10;37;0.5;-0.13
0.75;0.01;10;10;20;37;0.5;-0.29
0.25;10;3;10;5;38;0.5;10.56
0.5;0.01;5;10;10;38;0.5;-0.07
1;10;10;10;20;38;0.5;5.13
1;5;3;10;5;39;0.5;3.48
0.75;0.01;5;10;10;39;0.5;-1.73472347597681e-18
0.5;2.5;10;10;20;39;0.5;13.86
1;2.5;3;10;5;40;0.5;2.4
0;5;5;10;10;40;0.5;12.18
0.75;1;10;10;20;40;0.5;4.02
0.25;2.5;3;10;5;41;0.5;2.72
0;2.5;5;10;10;41;0.5;7.56
1;2.5;10;10;20;41;0.5;3.55
0.75;2.5;3;10;5;42;0.5;3.43
0.25;0.01;5;10;10;42;0.5;-0.02
1;0.01;10;10;20;42;0.5;-0.18
0.25;0.01;3;10;5;43;0.5;0.13
1;1;5;10;10;43;0.5;1.67
1;1;10;10;20;43;0.5;2.12
0.25;5;3;10;5;44;0.5;6.43
0.5;0.01;5;10;10;44;0.5;-0.12
0.5;5;10;10;20;44;0.5;20.71
1;0.01;3;10;5;45;0.5;-0.02
0.25;1;5;10;10;45;0.5;2.85
0.75;10;10;10;20;45;0.5;25.61
1;5;3;10;5;46;0.5;3.57
0;5;5;10;10;46;0.5;13.03
0.75;5;10;10;20;46;0.5;18
0.75;2.5;3;10;5;47;0.5;2.43
1;0.01;5;10;10;47;0.5;0.01
0.25;1;10;10;20;47;0.5;5.35
0.25;10;3;10;5;48;0.5;8.11
0.25;2.5;5;10;10;48;0.5;7.74
0.75;0.01;10;10;20;48;0.5;0.04
0.75;2.5;3;10;5;49;0.5;2.82
0.25;2.5;5;10;10;49;0.5;6.28
0.5;5;10;10;20;49;0.5;21.88
1;10;3;10;5;50;0.5;4.74
0.25;0.01;5;10;10;50;0.5;-0.11
0;2.5;10;10;20;50;0.5;16.16
0;1;3;10;5;51;0.5;1.45
0.5;1;5;10;10;51;0.5;2.81
1;1;10;10;20;51;0.5;2.07
1;2.5;3;10;5;52;0.5;2.35
0.75;0.01;5;10;10;52;0.5;-0.14
0;0.01;10;10;20;52;0.5;0.21
0.25;1;3;10;5;53;0.5;2.06
0.75;0.01;5;10;10;53;0.5;-0.07
0;10;10;10;20;53;0.5;34.84
0.5;2.5;3;10;5;54;0.5;3.62
0;5;5;10;10;54;0.5;12.47
1;2.5;10;10;20;54;0.5;3.61
1;2.5;3;10;5;55;0.5;2.33
0;0.01;5;10;10;55;0.5;0.1
0;2.5;10;10;20;55;0.5;15.95
0.5;2.5;3;10;5;56;0.5;3.14
0;0.01;5;10;10;56;0.5;0.07
0.5;2.5;10;10;20;56;0.5;11.85
0.75;2.5;3;10;5;57;0.5;2.56
0.25;1;5;10;10;57;0.5;3.21
0.25;5;10;10;20;57;0.5;24.09
0.75;0.01;3;10;5;58;0.5;0.24
1;0.01;5;10;10;58;0.5;-0.05
0;1;10;10;20;58;0.5;6.3
0.75;2.5;3;10;5;59;0.5;2.7
0;5;5;10;10;59;0.5;12.81
0.5;5;10;10;20;59;0.5;23.74
0.5;1;3;10;5;60;0.5;1.82
0.75;0.01;5;10;10;60;0.5;-0.09
0;0.01;10;10;20;60;0.5;0.24
0.75;5;3;10;5;61;0.5;4.66
0.25;0.01;5;10;10;61;0.5;0.08
0.5;10;10;10;20;61;0.5;29.21
0.25;2.5;3;10;5;62;0.5;4.58
0;0.01;5;10;10;62;0.5;0.02
0.75;2.5;10;10;20;62;0.5;7.54
0.25;5;3;10;5;63;0.5;8.06
0.5;0.01;5;10;10;63;0.5;-0.07
0.5;5;10;10;20;63;0.5;19.53
0;5;3;10;5;64;0.5;6.78
0;0.01;5;10;10;64;0.5;-0.13
0.75;5;10;10;20;64;0.5;18.51
0.75;0.01;3;10;5;65;0.5;-0.13
0;10;5;10;10;65;0.5;16.98
0.25;2.5;10;10;20;65;0.5;14.3
1;2.5;3;10;5;66;0.5;2.45
0.75;2.5;5;10;10;66;0.5;4.73
1;1;10;10;20;66;0.5;1.97
0.5;1;3;10;5;67;0.5;1.81
0.5;2.5;5;10;10;67;0.5;7.02
0.75;0.01;10;10;20;67;0.5;0.07
1;10;3;10;5;68;0.5;4.55
0.75;1;5;10;10;68;0.5;1.91
0.25;5;10;10;20;68;0.5;24.25
1;2.5;3;10;5;69;0.5;2.29
0.75;10;5;10;10;69;0.5;14.39
0.5;2.5;10;10;20;69;0.5;14.68
1;0.01;3;10;5;70;0.5;0.25
0.25;2.5;5;10;10;70;0.5;6.14
0;0.01;10;10;20;70;0.5;0.09
0.25;5;3;10;5;71;0.5;6.88
0;5;5;10;10;71;0.5;12.79
0.75;2.5;10;10;20;71;0.5;9.7
1;10;3;10;5;72;0.5;4.98
1;5;5;10;10;72;0.5;3.6
0.75;5;10;10;20;72;0.5;24.41
1;2.5;3;10;5;73;0.5;2.5
0;2.5;5;10;10;73;0.5;7.59
0.75;10;10;10;20;73;0.5;27.61
1;5;3;10;5;74;0.5;3.46
0.25;2.5;5;10;10;74;0.5;7.02
0.25;10;10;10;20;74;0.5;33.99
0.25;2.5;3;10;5;75;0.5;4.97
1;0.01;5;10;10;75;0.5;-0.18
0;5;10;10;20;75;0.5;24.79
0.5;1;3;10;5;76;0.5;1.73
0.5;2.5;5;10;10;76;0.5;7.62
0.5;2.5;10;10;20;76;0.5;12.19
0.25;2.5;3;10;5;77;0.5;4.77
0.25;0.01;5;10;10;77;0.5;-0.07
0.25;2.5;10;10;20;77;0.5;12.88
0.5;5;3;10;5;78;0.5;6.44
1;0.01;5;10;10;78;0.5;3.46944695195361e-18
0.25;0.01;10;10;20;78;0.5;-0.16
0;1;3;10;5;79;0.5;1.72
0.5;5;5;10;10;79;0.5;11.13
1;10;10;10;20;79;0.5;5
0.75;10;3;10;5;80;0.5;8.8
0.5;0.01;5;10;10;80;0.5;0.12
0.5;0.01;10;10;20;80;0.5;-0.07
1;10;3;10;5;81;0.5;4.49
0.5;1;5;10;10;81;0.5;2.52
0.75;10;10;10;20;81;0.5;30.29
0.75;10;3;10;5;82;0.5;10.9
0.75;10;5;10;10;82;0.5;14.85
0.25;1;10;10;20;82;0.5;5.47
0;1;3;10;5;83;0.5;2.04
0.5;1;5;10;10;83;0.5;2.5
1;10;10;10;20;83;0.5;5.53
0;2.5;3;10;5;84;0.5;4.39
0.75;10;5;10;10;84;0.5;14.13
0;10;10;10;20;84;0.5;35.53
0;5;3;10;5;85;0.5;7.65
0.25;1;5;10;10;85;0.5;3.01
1;5;10;10;20;85;0.5;4.35
1;5;3;10;5;86;0.5;3.43
0.25;10;5;10;10;86;0.5;16.1
0.5;0.01;10;10;20;86;0.5;-0.08
0;10;3;10;5;87;0.5;9.78
0;0.01;5;10;10;87;0.5;-0.04
1;5;10;10;20;87;0.5;4.34
0.75;0.01;3;10;5;88;0.5;0.2
1;0.01;5;10;10;88;0.5;0.04
0.25;1;10;10;20;88;0.5;5.63
0.25;2.5;3;10;5;89;0.5;3.99
1;1;5;10;10;89;0.5;1.32
0.5;0.01;10;10;20;89;0.5;-0.06
0.5;0.01;3;10;5;90;0.5;0.15
0.25;2.5;5;10;10;90;0.5;7
0;2.5;10;10;20;90;0.5;15.18
0.25;10;3;10;5;91;0.5;10.03
0.75;10;5;10;10;91;0.5;13.03
0;2.5;10;10;20;91;0.5;15.03
0.5;10;3;10;5;92;0.5;8.06
0.75;2.5;5;10;10;92;0.5;5.19
0.25;1;10;10;20;92;0.5;5.3
0.5;5;3;10;5;93;0.5;7.51
0;2.5;5;10;10;93;0.5;7.87
0.75;10;10;10;20;93;0.5;26.95
1;0.01;3;10;5;94;0.5;0.05
0.5;0.01;5;10;10;94;0.5;-0.05
1;0.01;10;10;20;94;0.5;0.1
0.25;1;3;10;5;95;0.5;1.09
0.5;0.01;5;10;10;95;0.5;0.07
0;5;10;10;20;95;0.5;25.65
0;1;3;10;5;96;0.5;1.63
0;2.5;5;10;10;96;0.5;8.07
0.5;2.5;10;10;20;96;0.5;13.67
1;1;3;10;5;97;0.5;1.02
1;5;5;10;10;97;0.5;3.93
0.5;0.01;10;10;20;97;0.5;0.06
1;5;3;10;5;98;0.5;3.42
0.25;0.01;5;10;10;98;0.5;0.14
0.25;1;10;10;20;98;0.5;5.19
0.75;5;3;10;5;99;0.5;7.65
0.25;1;5;10;10;99;0.5;2.72
0.25;10;10;10;20;99;0.5;34.08
0.5;0.01;3;10;5;100;0.5;-0.05
1;0.01;5;10;10;100;0.5;-0.11
0.25;10;10;10;20;100;0.5;35.63
0.25;2.5;3;10;5;101;0.5;3.02
0;5;5;10;10;101;0.5;11.49
1;5;10;10;20;101;0.5;4.26
0.25;2.5;3;10;5;102;0.5;5.03
0.75;2.5;5;10;10;102;0.5;6.78
1;2.5;10;10;20;102;0.5;3.48
0.25;5;3;10;5;103;0.5;6.89
0.25;0.01;5;10;10;103;0.5;-0.29
0.25;5;10;10;20;103;0.5;23.94
0.25;0.01;3;10;5;104;0.5;-0.14
0.75;2.5;5;10;10;104;0.5;6.51
0;2.5;10;10;20;104;0.5;15.82
1;5;3;10;5;105;0.5;3.35
0.75;5;5;10;10;105;0.5;11.1
0.75;2.5;10;10;20;105;0.5;10.69
1;1;3;10;5;106;0.5;1.08
0;0.01;5;10;10;106;0.5;-0.09
0.5;0.01;10;10;20;106;0.5;0.05
0.75;5;3;10;5;107;0.5;5.8
0.5;0.01;5;10;10;107;0.5;0.26
1;1;10;10;20;107;0.5;2.06
0.75;0.01;3;10;5;108;0.5;-0.07
0.5;10;5;10;10;108;0.5;15.28
0.75;2.5;10;10;20;108;0.5;11.96
0.5;0.01;3;10;5;109;0.5;0.02
0.75;2.5;5;10;10;109;0.5;4.2
0.75;5;10;10;20;109;0.5;16.58
0.25;0.01;3;10;5;110;0.5;-0.27
0.5;5;5;10;10;110;0.5;10.73
1;0.01;10;10;20;110;0.5;0.01
0.25;10;3;10;5;111;0.5;8.77
0.5;0.01;5;10;10;111;0.5;-0.1
0.75;1;10;10;20;111;0.5;4.07
0.75;1;3;10;5;112;0.5;1.09
0;0.01;5;10;10;112;0.5;-0.04
1;5;10;10;20;112;0.5;4.35
1;1;3;10;5;113;0.5;1.13
1;0.01;5;10;10;113;0.5;0.03
0.5;1;10;10;20;113;0.5;4.75
0;5;3;10;5;114;0.5;6.38
0.75;2.5;5;10;10;114;0.5;7.08
1;1;10;10;20;114;0.5;2.33
1;5;3;10;5;115;0.5;3.4
1;10;5;10;10;115;0.5;4.7
0.25;2.5;10;10;20;115;0.5;13.76
0.75;1;3;10;5;116;0.5;1.52
0.75;0.01;5;10;10;116;0.5;-0.05
0.75;10;10;10;20;116;0.5;27.58
0.25;1;3;10;5;117;0.5;1.71
1;10;5;10;10;117;0.5;4.82
0.5;10;10;10;20;117;0.5;31.81
0.25;5;3;10;5;118;0.5;5.67
0;2.5;5;10;10;118;0.5;7.6
0;1;10;10;20;118;0.5;5.9
0.75;0.01;3;10;5;119;0.5;0.18
0.25;5;5;10;10;119;0.5;10.74
0.75;0.01;10;10;20;119;0.5;-0.06
0;2.5;3;10;5;120;0.5;3.85
1;0.01;5;10;10;120;0.5;0.29
0.5;5;10;10;20;120;0.5;21.14
0;2.5;3;10;5;121;0.5;4.6
0;1;5;10;10;121;0.5;3.74
0.75;0.01;10;10;20;121;0.5;-0.27
0;0.01;3;10;5;122;0.5;-0.04
0.5;0.01;5;10;10;122;0.5;-0.27
0.25;5;10;10;20;122;0.5;23.6
0;10;3;10;5;123;0.5;9.45
0;2.5;5;10;10;123;0.5;7.66
0.25;5;10;10;20;123;0.5;23.82
1;1;3;10;5;124;0.5;1.7
0;0.01;5;10;10;124;0.5;-0.29
1;1;10;10;20;124;0.5;2.43
0.5;5;3;10;5;125;0.5;5.84
0.25;5;5;10;10;125;0.5;12.01
0.75;0.01;10;10;20;125;0.5;0.01
1;10;3;10;5;126;0.5;4.56
1;2.5;5;10;10;126;0.5;2.9
0.75;5;10;10;20;126;0.5;18.88
0;2.5;3;10;5;127;0.5;4.62
0.75;5;5;10;10;127;0.5;9.88
0.25;10;10;10;20;127;0.5;33.56
0.25;5;3;10;5;128;0.5;6.27
0.75;2.5;5;10;10;128;0.5;8.08
0.75;2.5;10;10;20;128;0.5;11.55
0.5;10;3;10;5;129;0.5;6.67
0.25;0.01;5;10;10;129;0.5;-0.05
0;0.01;10;10;20;129;0.5;0.08
0;5;3;10;5;130;0.5;6.77
0.75;10;5;10;10;130;0.5;14.86
0.25;10;10;10;20;130;0.5;33.63
0.25;5;3;10;5;131;0.5;6.05
0.75;5;5;10;10;131;0.5;9.32
0.25;2.5;10;10;20;131;0.5;13.95
0.5;2.5;3;10;5;132;0.5;2.41
0.75;10;5;10;10;132;0.5;17.15
0.25;2.5;10;10;20;132;0.5;14.36
0;5;3;10;5;133;0.5;6.7
0.5;0.01;5;10;10;133;0.5;0.06
0;2.5;10;10;20;133;0.5;16.45
0.5;2.5;3;10;5;134;0.5;3.57
0.25;5;5;10;10;134;0.5;11.98
0.5;2.5;10;10;20;134;0.5;11.78
0.5;5;3;10;5;135;0.5;7.23
1;2.5;5;10;10;135;0.5;2.87
0.75;0.01;10;10;20;135;0.5;0.06
0.5;5;3;10;5;136;0.5;6.92
0;1;5;10;10;136;0.5;2.67
0.5;2.5;10;10;20;136;0.5;12.57
0.75;10;3;10;5;137;0.5;8.24
0.5;10;5;10;10;137;0.5;15.35
0.5;0.01;10;10;20;137;0.5;0.05
1;0.01;3;10;5;138;0.5;0.38
0.25;5;5;10;10;138;0.5;11.5
0.25;5;10;10;20;138;0.5;24.68
0.75;2.5;3;10;5;139;0.5;3.25
0.5;10;5;10;10;139;0.5;16.24
0.75;2.5;10;10;20;139;0.5;10.08
0.5;10;3;10;5;140;0.5;10.16
0.5;0.01;5;10;10;140;0.5;0.1
0;2.5;10;10;20;140;0.5;16.18
1;2.5;3;10;5;141;0.5;2.66
0.75;5;5;10;10;141;0.5;11.88
0;2.5;10;10;20;141;0.5;15.32
0.75;0.01;3;10;5;142;0.5;0.37
0.5;10;5;10;10;142;0.5;16.17
0.5;10;10;10;20;142;0.5;32.01
0;0.01;3;10;5;143;0.5;-0.03
1;1;5;10;10;143;0.5;1.65
0.25;5;10;10;20;143;0.5;23.21
0.25;5;3;10;5;144;0.5;4.81
0.5;2.5;5;10;10;144;0.5;6.63
0;2.5;10;10;20;144;0.5;14.88
0.5;0.01;3;10;5;145;0.5;0.3
1;5;5;10;10;145;0.5;3.64
0.5;2.5;10;10;20;145;0.5;15.5
0.75;5;3;10;5;146;0.5;5.19
0;10;5;10;10;146;0.5;17.05
0.5;5;10;10;20;146;0.5;21.8
0.25;10;3;10;5;147;0.5;9.98
0.75;2.5;5;10;10;147;0.5;5.1
0.75;2.5;10;10;20;147;0.5;11.09
0;5;3;10;5;148;0.5;7.67
0;0.01;5;10;10;148;0.5;-0.19
0;2.5;10;10;20;148;0.5;14.54
1;5;3;10;5;149;0.5;3.45
0.5;1;5;10;10;149;0.5;2.32
0.25;5;10;10;20;149;0.5;23.91
0.5;1;3;10;5;150;0.5;1.33
0.5;2.5;5;10;10;150;0.5;6.36
0.5;2.5;10;10;20;150;0.5;12.95
0.75;5;3;10;5;151;0.5;7.52
0;2.5;5;10;10;151;0.5;6.77
0.75;0.01;10;10;20;151;0.5;-0.16
0.25;1;3;10;5;152;0.5;1.69
1;10;5;10;10;152;0.5;4.63
0.25;5;10;10;20;152;0.5;23.73
0.25;0.01;3;10;5;153;0.5;0.07
0;1;5;10;10;153;0.5;2.88
0.75;5;10;10;20;153;0.5;18.01
1;2.5;3;10;5;154;0.5;2.58
0.25;1;5;10;10;154;0.5;2.6
0;5;10;10;20;154;0.5;24.81
0.5;5;3;10;5;155;0.5;6.37
0.25;2.5;5;10;10;155;0.5;7.37
0.5;1;10;10;20;155;0.5;5.29
0.75;2.5;3;10;5;156;0.5;2.88
0.5;10;5;10;10;156;0.5;17.6
0.75;5;10;10;20;156;0.5;19.16
0.25;10;3;10;5;157;0.5;10.01
1;0.01;5;10;10;157;0.5;0.01
1;1;10;10;20;157;0.5;2.3
0.75;2.5;3;10;5;158;0.5;3.18
0;1;5;10;10;158;0.5;2.81
0.25;1;10;10;20;158;0.5;5.93
0.25;10;3;10;5;159;0.5;9.38
0.75;0.01;5;10;10;159;0.5;0.07
1;1;10;10;20;159;0.5;2.13
0.75;5;3;10;5;160;0.5;5.85
0.5;2.5;5;10;10;160;0.5;5.87
0.5;0.01;10;10;20;160;0.5;-0.24
0;2.5;3;10;5;161;0.5;3.15
0.5;5;5;10;10;161;0.5;12.09
0.25;5;10;10;20;161;0.5;23.89
0.5;0.01;3;10;5;162;0.5;-0.03
0.75;2.5;5;10;10;162;0.5;7.6
1;10;10;10;20;162;0.5;5.12
1;0.01;3;10;5;163;0.5;0.09
0.25;2.5;5;10;10;163;0.5;7.56
0.25;5;10;10;20;163;0.5;24.6
0;1;3;10;5;164;0.5;1.62
0.75;1;5;10;10;164;0.5;2.29
0;1;10;10;20;164;0.5;6.25
0.75;0.01;3;10;5;165;0.5;-0.14
0;10;5;10;10;165;0.5;15.59
0;0.01;10;10;20;165;0.5;0.05
0.5;0.01;3;10;5;166;0.5;0.06
0.5;5;5;10;10;166;0.5;11.72
0;1;10;10;20;166;0.5;5.72
0;2.5;3;10;5;167;0.5;4.1
0;10;5;10;10;167;0.5;16.06
0.25;0.01;10;10;20;167;0.5;0.02
0.75;2.5;3;10;5;168;0.5;2.69
0.25;5;5;10;10;168;0.5;11.69
0.25;5;10;10;20;168;0.5;23.32
0.25;5;3;10;5;169;0.5;7.34
0.25;10;5;10;10;169;0.5;17.07
1;10;10;10;20;169;0.5;5.49
0.75;0.01;3;10;5;170;0.5;-0.12
0.25;2.5;5;10;10;170;0.5;6.45
0.75;10;10;10;20;170;0.5;25.7
0;2.5;3;10;5;171;0.5;4.49
0.75;0.01;5;10;10;171;0.5;0.06
0.25;2.5;10;10;20;171;0.5;15.31
1;10;3;10;5;172;0.5;4.49
1;0.01;5;10;10;172;0.5;0.14
0;1;10;10;20;172;0.5;5.31
0.25;10;3;10;5;173;0.5;9.16
0;5;5;10;10;173;0.5;12.16
0.75;1;10;10;20;173;0.5;5.04
0;10;3;10;5;174;0.5;8.77
0;0.01;5;10;10;174;0.5;-0.13
0.75;5;10;10;20;174;0.5;20.78
0.5;1;3;10;5;175;0.5;1.56
0.75;10;5;10;10;175;0.5;16.84
0.25;0.01;10;10;20;175;0.5;-0.21
0.25;5;3;10;5;176;0.5;8.63
1;1;5;10;10;176;0.5;1.71
0.25;5;10;10;20;176;0.5;24.5
0.25;5;3;10;5;177;0.5;7.52
0.25;1;5;10;10;177;0.5;2.51
1;2.5;10;10;20;177;0.5;3.52
0.5;10;3;10;5;178;0.5;10.25
0.25;0.01;5;10;10;178;0.5;0.02
0.5;0.01;10;10;20;178;0.5;-0.13
0.75;5;3;10;5;179;0.5;4.87
0.25;2.5;5;10;10;179;0.5;7.28
0.75;5;10;10;20;179;0.5;18.71
0;10;3;10;5;180;0.5;10.56
0.5;0.01;5;10;10;180;0.5;0.03
0.75;0.01;10;10;20;180;0.5;-0.07
0;0.01;3;10;5;181;0.5;-0.13
1;2.5;5;10;10;181;0.5;2.71
0.5;1;10;10;20;181;0.5;5.15
0;2.5;3;10;5;182;0.5;3.22
0.5;1;5;10;10;182;0.5;1.97
0.75;1;10;10;20;182;0.5;3.98
1;10;3;10;5;183;0.5;4.64
0.5;0.01;5;10;10;183;0.5;-0.18
0.25;10;10;10;20;183;0.5;34.68
0.75;1;3;10;5;184;0.5;1.41
0.25;0.01;5;10;10;184;0.5;-0.07
0.25;10;10;10;20;184;0.5;32.27
1;10;3;10;5;185;0.5;4.39
0.5;2.5;5;10;10;185;0.5;6.29
0;0.01;10;10;20;185;0.5;-0.02
0;10;3;10;5;186;0.5;10.33
0.5;0.01;5;10;10;186;0.5;-0.29
0.25;2.5;10;10;20;186;0.5;14.59
0.5;5;3;10;5;187;0.5;7.52
0;10;5;10;10;187;0.5;16.59
0.5;0.01;10;10;20;187;0.5;0.05
0;10;3;10;5;188;0.5;9.46
1;5;5;10;10;188;0.5;4.21
0;5;10;10;20;188;0.5;24.65
0.25;2.5;3;10;5;189;0.5;3.34
1;0.01;5;10;10;189;0.5;0.15
1;0.01;10;10;20;189;0.5;-0.06
1;2.5;3;10;5;190;0.5;2.44
0.75;5;5;10;10;190;0.5;9.98
1;0.01;10;10;20;190;0.5;0.18
0;5;3;10;5;191;0.5;5.99
0.75;10;5;10;10;191;0.5;14.54
0.75;2.5;10;10;20;191;0.5;10.38
0;5;3;10;5;192;0.5;4.72
0.75;1;5;10;10;192;0.5;2.28
1;5;10;10;20;192;0.5;4.34
0;0.01;3;10;5;193;0.5;-0.17
0;5;5;10;10;193;0.5;12.54
0;5;10;10;20;193;0.5;24.25
0;0.01;3;10;5;194;0.5;-0.14
0.75;0.01;5;10;10;194;0.5;0.35
0.75;5;10;10;20;194;0.5;16.02
0.25;10;3;10;5;195;0.5;10.55
0.5;1;5;10;10;195;0.5;2.93
0.75;2.5;10;10;20;195;0.5;8.82
0.75;1;3;10;5;196;0.5;1.78
0.75;0.01;5;10;10;196;0.5;0.09
0.75;0.01;10;10;20;196;0.5;-0.04
0.75;5;3;10;5;197;0.5;7.62
0.75;2.5;5;10;10;197;0.5;7.63
0;10;10;10;20;197;0.5;34.89
0;5;3;10;5;198;0.5;6.95
0.5;5;5;10;10;198;0.5;11.71
0.75;1;10;10;20;198;0.5;3.89
0.75;2.5;3;10;5;199;0.5;3.78
0.5;0.01;5;10;10;199;0.5;0.19
0.5;0.01;10;10;20;199;0.5;-5.20417042793042e-18
0.25;10;3;10;5;200;0.5;8.07
0;1;5;10;10;200;0.5;3.12
0.25;10;10;10;20;200;0.5;32.79
1;10;3;10;5;201;0.5;3.96
1;0.01;5;10;10;201;0.5;-0.08
0;1;10;10;20;201;0.5;5.58
0;2.5;3;10;5;202;0.5;3.92
1;10;5;10;10;202;0.5;4.98
1;5;10;10;20;202;0.5;4.39
0.75;5;3;10;5;203;0.5;7.07
0.75;10;5;10;10;203;0.5;15.97
0.5;0.01;10;10;20;203;0.5;0.06
0.25;0.01;3;10;5;204;0.5;-0.06
0.75;5;5;10;10;204;0.5;10.67
0.25;5;10;10;20;204;0.5;23.86
0;5;3;10;5;205;0.5;8.85
1;1;5;10;10;205;0.5;1.64
0.75;1;10;10;20;205;0.5;4.27
0;0.01;3;10;5;206;0.5;-0.13
0.25;5;5;10;10;206;0.5;11.76
0;2.5;10;10;20;206;0.5;15.73
0.75;0.01;3;10;5;207;0.5;-0.16
0.75;10;5;10;10;207;0.5;17.01
1;5;10;10;20;207;0.5;4.22
0.25;1;3;10;5;208;0.5;1.57
0;1;5;10;10;208;0.5;3.19
1;0.01;10;10;20;208;0.5;-5.20417042793042e-18
0.75;0.01;3;10;5;209;0.5;0.08
